iter	Logloss
0	0.686430320311	0.678651108
2	0.6746597851
3	0.667355075
4	0.6622807316
5	0.6560339819
6	0.6521529512
7	0.6483649108
8	0.6422121435
9	0.6366053553
10	0.6299422196
11	0.6257899664
12	0.6190190879
13	0.6144399237
14	0.6113950633
15	0.608085512
16	0.6051981375
17	0.6020880456118	0.5969755041919	0.595742678220	0.5935170665221	0.5909403283222	0.5890102816223	0.5841572049224	0.5830017388225	0.5787911349226	0.5764065637227	0.5743680589228	0.5732846865229	0.5721095106330	0.5698939637331	0.5679496823332	0.566267773
33	0.5647502849
34	0.5636076234
35	0.5631849256336	0.5604828537337	0.5574831166338	0.5556606828339	0.5522152708440	0.5493118294141	0.5490449434242	0.5474961094343	0.5462274104444	0.5453936524545	0.5447438124646	0.543059376447	0.5406712952448	0.5385999713449	0.5383028741550	0.537622044
51	0.536681779
52	0.5356377729
53	0.5350669733
54	0.5336050807
55	0.5315043924
56	0.528638715
57	0.5282835446
58	0.5276042341
59	0.5259679916
60	0.5247284963
61	0.5236882409
62	0.5224735862
63	0.5218694253
64	0.5215399931
65	0.5205276127
66	0.5196272655
67	0.5185631287
68	0.5181030547
69	0.5172112803770	0.5160736632771	0.5147091969772	0.5142910299773	0.513613184
74	0.5134858935
75	0.512408602
76	0.5114724487
77	0.5105163191
78	0.508936107
79	0.5080679719
80	0.5080515499
81	0.5068001716
82	0.5065511574
83	0.5056264906
84	0.5046106356
85	0.5038515064
86	0.5031010583
87	0.501302885
88	0.5006969351
89	0.5005518981
90	0.4996621947
91	0.4994194588
92	0.4986569699
93	0.4972598135
94	0.4967673781
95	0.4963443755
96	0.4957466359
97	0.4951895551998	0.4949545966999	0.4946030146
9211
