iter	Logloss	AUC
0	0.6785386392	0.8041649247
1	0.6662676063	0.8318352843
2	0.6524520169	0.8623536789
3	0.6440954277	0.8846153846
4	0.6337630991	0.8828647575
5	0.6264100599	0.8907817726
6	0.6161275076	0.8883256689
7	0.6133645095	0.8884824415
8	0.6045520265	0.8918791806
9	0.5949659063	0.901625209
10	0.5877321088	0.9050742057
11	0.5791247503	0.9140363712
12	0.5706592061	0.9152905518
13	0.559996639	0.9220317726
14	0.5544241074	0.9173808528
15	0.5510955506	0.9179556856
16	0.5432416799	0.9234427258
17	0.5359144291	0.9291910535
18	0.5286939349	0.9353574415
19	0.5214724331	0.9345213211
20	0.5146436432	0.934312291
21	0.5076925803	0.9347303512
22	0.5036700814	0.9375
23	0.4980369767	0.9418373746
24	0.4951569589	0.9434051003
25	0.4910103011	0.9441367057
26	0.486302464	0.9422031773
27	0.4830444022	0.9416283445
28	0.4786356288	0.9428825251
29	0.474784062	0.9438231605
30	0.4687777949	0.9457044314
31	0.4653374995	0.9464882943
32	0.4608098946	0.9460179766
33	0.4565941527	0.9485785953
34	0.4540899675	0.9492579431
35	0.4508521335	0.9484740803
36	0.4467181995	0.9486831104
37	0.4418728037	0.9499895485
38	0.4387742046	0.9502508361
39	0.4340198484	0.9504076087
40	0.4311403598	0.9517663043
41	0.4276537282	0.9519230769
42	0.4230568022	0.9536475753
43	0.4188602053	0.9546404682
44	0.415858526	0.9550585284
45	0.4122493961	0.9561559365
46	0.410476201	0.9572533445
47	0.4050771024	0.9597094482
48	0.40259159	0.9595526756
49	0.4009885654	0.9598662207
50	0.399261262	0.9600229933
51	0.3968503129	0.9602320234
52	0.3938281325	0.9600752508
53	0.3917502688	0.9611204013
54	0.3914208657	0.9611726589
55	0.3891613482	0.9617474916
56	0.3879863127	0.9608591137
57	0.3854739244	0.960388796
58	0.3830456357	0.9611726589
59	0.3800801297	0.9615384615
60	0.3781089968	0.9610158863
61	0.3754994584	0.9609636288
62	0.3731904195	0.9614339465
63	0.370851378	0.9618520067
64	0.3681251829	0.9625313545
65	0.3652595735	0.962479097
66	0.363281853	0.962583612
67	0.3616976212	0.9623223244
68	0.3607976757	0.9628971572
69	0.3591229955	0.9629494147
70	0.3580611221	0.9636810201
71	0.3566709264	0.9639945652
72	0.3541111256	0.9638900502
73	0.3526622732	0.9647784281
74	0.3514382397	0.9645171405
75	0.3494308061	0.9647261706
76	0.3485493531	0.9644648829
77	0.3466281928	0.9652487458
78	0.3457250052	0.9651442308
79	0.3445954635	0.9652487458
80	0.3418350252	0.9663461538
81	0.340898967	0.9658758361
82	0.3400723051	0.9657190635
83	0.3382015265	0.9662416388
84	0.3374355251	0.9658758361
85	0.3370334176	0.9657190635
86	0.3357033807	0.9666074415
87	0.3343989633	0.9669209866
88	0.3328724061	0.9667119565
89	0.3325301795	0.9668687291
90	0.3316476553	0.9676003344
91	0.3302471025	0.9674958194
92	0.3289865589	0.9680706522
93	0.3285107711	0.9680706522
94	0.3281712722	0.9682274247
95	0.326116132	0.9691158027
96	0.3247287235	0.9692203177
97	0.3233801397	0.9693248328
98	0.3231001949	0.9693770903
99	0.3216641142	0.9695338629
100	0.3203498299	0.9696383779
101	0.3194262295	0.9701609532
102	0.3185098235	0.9703177258
103	0.3177171188	0.9702132107
104	0.3172469226	0.9703177258
105	0.3152722751	0.9711015886
106	0.3128548257	0.9723557692
107	0.311566614	0.972930602
108	0.3107735308	0.9729828595
109	0.310456891	0.9728783445
110	0.3094417049	0.9731396321
111	0.3081150136	0.9737144649
112	0.3068301865	0.9740802676
113	0.3049291846	0.9748118729
114	0.3045272275	0.9748118729
115	0.3028261761	0.9750731605
116	0.3014460282	0.9753344482
117	0.3000708125	0.9754912207
118	0.2991847753	0.9755957358
119	0.2989747584	0.9754389632
120	0.2975635913	0.9763273411
121	0.2974930095	0.9762228261
122	0.2962133836	0.9763273411
123	0.2942463364	0.9767454013
124	0.2928835071	0.9771634615
125	0.2918237758	0.9775292642
126	0.2901732444	0.9777382943
127	0.2891777723	0.9776860368
128	0.2884601006	0.9774247492
129	0.2877626968	0.9773202341
130	0.2864779314	0.9776860368
131	0.2846914842	0.978104097
132	0.28230865	0.9795150502
133	0.2818024481	0.9794105351
134	0.2804275384	0.9796195652
135	0.280083952	0.9796195652
136	0.2789605689	0.9800898829
137	0.2768369221	0.9809782609
138	0.2755940508	0.9816576087
139	0.2750636309	0.9816576087
140	0.2743293134	0.981187291
141	0.2733856865	0.9813440635
142	0.2731562145	0.9812395485
143	0.2717874225	0.9815530936
144	0.2712172347	0.9815530936
145	0.270581418	0.9816053512
146	0.2692498476	0.982389214
147	0.2679385416	0.9824937291
148	0.2665411687	0.9827027592
149	0.265115461	0.9830685619
150	0.2649011027	0.9831730769
151	0.2629999736	0.9845317726
152	0.2613349357	0.9848975753
153	0.2609341027	0.9847930602
154	0.260195651	0.985367893
155	0.2597419276	0.9852111204
156	0.2592217655	0.9850020903
157	0.2580486493	0.9849498328
158	0.2574677288	0.9850020903
159	0.2561780284	0.985472408
160	0.2546993751	0.9862562709
161	0.2535427899	0.986465301
162	0.253087564	0.9865175585
163	0.2524198066	0.9864130435
164	0.2516789718	0.9862040134
165	0.251426271	0.9862562709
166	0.2494834555	0.9868833612
167	0.2487049204	0.9869878763
168	0.2484204332	0.9869878763
169	0.2480197995	0.9872491639
170	0.2473510242	0.9871969064
171	0.246711038	0.9873014214
172	0.2462484141	0.9875104515
173	0.2458647307	0.9874059365
174	0.2458033906	0.9873536789
175	0.244520938	0.9880852843
176	0.2428175519	0.9881375418
177	0.2424334825	0.9882943144
178	0.2418623324	0.9885033445
179	0.2415424333	0.988451087
180	0.2410038033	0.9885033445
181	0.2408933785	0.988555602
182	0.2401758648	0.9886601171
183	0.2398921529	0.9887123746
184	0.239111557	0.9889214047
185	0.2388823872	0.9890781773
186	0.2388291199	0.9891304348
187	0.2385215719	0.9888691472
188	0.2375698744	0.9892349498
189	0.2372230803	0.9891826923
190	0.2362490223	0.9891826923
191	0.2353922519	0.9894439799
192	0.2350500976	0.9894439799
193	0.2342909068	0.9893917224
194	0.2330647957	0.9896007525
195	0.2323189798	0.9897052676
196	0.2321559044	0.98965301
197	0.2317317373	0.9896007525
198	0.2304424399	0.9897575251
199	0.2295636755	0.9898097826
200	0.2292903911	0.9899142977
201	0.2287880543	0.9900710702
202	0.2277957399	0.9903846154
203	0.2265162491	0.9906981605
204	0.2259116542	0.9908549331
205	0.2256548015	0.9908026756
206	0.2254579951	0.9907504181
207	0.2251728008	0.9906981605
208	0.224601279	0.9908026756
209	0.2239729292	0.9908026756
210	0.2231518131	0.9908549331
211	0.2226550985	0.9910117057
212	0.221538649	0.9910117057
213	0.2206399568	0.9913775084
214	0.2198160106	0.9913775084
215	0.2193174379	0.9915865385
216	0.2189325498	0.991638796
217	0.2186668016	0.991638796
218	0.2179620522	0.991743311
219	0.2175796109	0.9919000836
220	0.2167741288	0.9916910535
221	0.2164492462	0.991638796
222	0.2162275798	0.9916910535
223	0.2157239363	0.9916910535
224	0.2145955583	0.9917955686
225	0.2139078355	0.9919000836
226	0.2134213374	0.9918478261
227	0.2131161802	0.9919000836
228	0.2128132779	0.9919523411
229	0.2126678617	0.9919523411
230	0.2124624235	0.9920568562
231	0.2117310372	0.992631689
232	0.211476839	0.992631689
233	0.2106206177	0.9925271739
234	0.2095927502	0.9926839465
235	0.2094615867	0.9926839465
236	0.2088026132	0.9927884615
237	0.2082457227	0.9927884615
238	0.208126758	0.9927884615
239	0.2077182702	0.9928929766
240	0.2070703946	0.9928929766
241	0.2049598746	0.9933110368
242	0.2032170293	0.9941471572
243	0.2022403414	0.9941994147
244	0.2020517811	0.9942516722
245	0.2010378384	0.9942516722
