iter	Passed	Remaining
0	14	14940
1	26	12994
2	37	12378
3	49	12347
4	60	11999
5	71	11917
6	83	11818
7	92	11520
8	105	11642
9	119	11827
10	134	12106
11	145	11990
12	159	12072
13	171	12045
14	184	12083
15	200	12354
16	218	12662
17	234	12814
18	250	12938
19	262	12849
20	274	12789
21	285	12698
22	297	12634
23	311	12657
24	324	12644
25	338	12687
26	354	12769
27	367	12744
28	380	12741
29	392	12705
30	405	12659
31	417	12642
32	429	12590
33	441	12551
34	453	12509
35	465	12452
36	476	12392
37	487	12343
38	499	12300
39	510	12251
40	522	12219
41	534	12187
42	547	12178
43	559	12150
44	581	12330
45	592	12292
46	603	12236
47	617	12238
48	629	12215
49	643	12220
50	655	12197
51	668	12184
52	681	12173
53	698	12237
54	713	12251
55	727	12263
56	737	12201
57	755	12271
58	777	12392
59	798	12502
60	814	12537
61	828	12533
62	839	12479
63	851	12445
64	862	12409
65	874	12376
66	886	12351
67	902	12367
68	920	12416
69	935	12433
70	950	12441
71	970	12510
72	989	12559
73	1004	12571
74	1021	12602
75	1034	12574
76	1050	12590
77	1063	12565
78	1076	12554
79	1090	12541
80	1105	12544
81	1121	12550
82	1137	12562
83	1159	12648
84	1173	12627
85	1185	12598
86	1203	12628
87	1222	12671
88	1236	12658
89	1245	12595
90	1255	12543
91	1268	12518
92	1278	12469
93	1288	12416
94	1300	12391
95	1315	12388
96	1332	12402
97	1347	12406
98	1358	12364
99	1370	12337
100	1383	12315
101	1399	12320
102	1416	12334
103	1433	12351
104	1444	12308
105	1456	12287
106	1467	12250
107	1479	12219
108	1491	12192
109	1504	12171
110	1521	12181
111	1535	12172
112	1550	12172
113	1561	12132
114	1570	12087
115	1582	12057
116	1598	12061
117	1614	12064
118	1631	12078
119	1644	12061
120	1656	12032
121	1665	11982
122	1676	11953
123	1688	11929
124	1701	11913
125	1718	11917
126	1732	11908
127	1750	11922
128	1761	11891
129	1775	11879
130	1789	11867
131	1807	11882
132	1822	11877
133	1840	11891
134	1855	11890
135	1868	11872
136	1882	11856
137	1894	11832
138	1906	11808
139	1922	11812
140	1936	11796
141	1952	11795
142	1970	11807
143	1987	11814
144	2002	11809
145	2019	11812
146	2037	11820
147	2052	11818
148	2064	11789
149	2076	11768
150	2090	11756
151	2103	11737
152	2117	11721
153	2134	11725
154	2150	11722
155	2168	11730
156	2185	11735
